iterations = 2, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 14, 0.015, 0.19, 0.081, 5, 4902500.0, changed = True, neighbourhood = 2 
iterations = 16, 0.009, 0.076, 0.121, 3, 6794600.0, changed = True, neighbourhood = 1 
iterations = 18, 0.012, 0.075, 0.162, 3, 9144100.0, changed = True, neighbourhood = 1 
iterations = 20, 0.03, 0.148, 0.202, 5, 11565200.0, changed = True, neighbourhood = 3 
iterations = 22, 0.018, 0.075, 0.243, 4, 13769900.0, changed = True, neighbourhood = 1 
iterations = 24, 0.034, 0.119, 0.283, 3, 15614800.0, changed = True, neighbourhood = 2 
iterations = 26, 0.009, 0.027, 0.324, 3, 17808100.0, changed = True, neighbourhood = 1 
iterations = 28, 0.059, 0.161, 0.364, 5, 20269000.0, changed = True, neighbourhood = 2 
iterations = 30, 0.038, 0.094, 0.405, 4, 22528500.0, changed = True, neighbourhood = 1 
iterations = 32, 0.075, 0.168, 0.445, 5, 24738900.0, changed = True, neighbourhood = 1 
iterations = 34, 0.058, 0.12, 0.486, 6, 27163900.0, changed = True, neighbourhood = 1 
iterations = 36, 0.079, 0.15, 0.526, 6, 29375900.0, changed = True, neighbourhood = 1 
iterations = 38, 0.08, 0.141, 0.567, 6, 31656100.0, changed = True, neighbourhood = 1 
iterations = 40, 0.064, 0.105, 0.607, 7, 34060600.0, changed = True, neighbourhood = 1 
iterations = 42, 0.02, 0.03, 0.648, 4, 35988900.0, changed = True, neighbourhood = 1 
iterations = 44, 0.036, 0.052, 0.688, 5, 38295900.0, changed = True, neighbourhood = 1 
iterations = 46, 0.107, 0.147, 0.729, 7, 40775900.0, changed = True, neighbourhood = 1 
iterations = 48, 0.13, 0.169, 0.769, 9, 43403900.0, changed = True, neighbourhood = 1 
iterations = 50, 0.202, 0.256, 0.789, 10, 44806100.0, changed = False, neighbourhood = 0 
[{'id': '393_1', 'cost': 7880, 'act': 5484, 'utils': {'Role 1': 0.0, 'Role 2': 0.01}}, {'id': '262_2', 'cost': 5280, 'act': 5611, 'utils': {'Role 1': 0.0, 'Role 2': 0.0}}, {'id': '233_1', 'cost': 4680, 'act': 5671, 'utils': {'Role 1': 0.0, 'Role 2': 0.0}}, {'id': '73_1', 'cost': 1480, 'act': 5692, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '53_1', 'cost': 1080, 'act': 5843, 'utils': {'Role 1': 0.02, 'Role 2': 0.0}}, {'id': '43_1', 'cost': 880, 'act': 6231, 'utils': {'Role 1': 0.02, 'Role 2': 0.01}}, {'id': '33_1', 'cost': 680, 'act': 6495, 'utils': {'Role 1': 0.03, 'Role 2': 0.01}}, {'id': '23_1', 'cost': 480, 'act': 6569, 'utils': {'Role 1': 0.05, 'Role 2': 0.03}}, {'id': '13_1', 'cost': 280, 'act': 6647, 'utils': {'Role 1': 0.09, 'Role 2': 0.02}}, {'id': '3_1', 'cost': 80, 'act': 7375, 'utils': {'Role 1': 0.38, 'Role 2': 0.01}}] 
iterations = 2, 0.001, 0.035, 0.02, 2, 1225000.0, changed = True, neighbourhood = 1 
iterations = 4, 0.002, 0.033, 0.061, 3, 3676400.0, changed = True, neighbourhood = 1 
iterations = 6, 0.001, 0.014, 0.101, 3, 6034800.0, changed = True, neighbourhood = 1 
iterations = 8, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 10, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 12, 0.003, 0.086, 0.04, 3, 2391900.0, changed = True, neighbourhood = 1 
iterations = 14, 0.004, 0.051, 0.081, 4, 4750700.0, changed = True, neighbourhood = 1 
iterations = 16, 0.013, 0.107, 0.121, 6, 7205600.0, changed = True, neighbourhood = 2 
iterations = 18, 0.011, 0.068, 0.162, 6, 9590800.0, changed = True, neighbourhood = 1 
iterations = 20, 0.017, 0.083, 0.202, 3, 11578800.0, changed = True, neighbourhood = 2 
iterations = 22, 0.012, 0.051, 0.243, 4, 13913600.0, changed = True, neighbourhood = 1 
iterations = 24, 0.032, 0.112, 0.283, 5, 16435000.0, changed = True, neighbourhood = 1 
iterations = 26, 0.02, 0.063, 0.324, 5, 18816000.0, changed = True, neighbourhood = 1 
iterations = 28, 0.02, 0.054, 0.364, 5, 21231800.0, changed = True, neighbourhood = 1 
iterations = 30, 0.001, 0.062, 0.02, 2, 1173900.0, changed = True, neighbourhood = 2 
iterations = 32, 0.005, 0.08, 0.061, 3, 3636100.0, changed = True, neighbourhood = 1 
iterations = 34, 0.0, 0.0, 0.101, 2, 5650500.0, changed = True, neighbourhood = 1 
iterations = 36, 0.002, 0.012, 0.142, 3, 7927700.0, changed = True, neighbourhood = 1 
iterations = 38, 0.021, 0.114, 0.182, 5, 10374700.0, changed = True, neighbourhood = 1 
iterations = 40, 0.01, 0.047, 0.223, 4, 12614900.0, changed = True, neighbourhood = 1 
iterations = 42, 0.033, 0.125, 0.263, 6, 15105900.0, changed = True, neighbourhood = 2 
iterations = 44, 0.016, 0.054, 0.304, 5, 17421300.0, changed = True, neighbourhood = 1 
iterations = 46, 0.033, 0.096, 0.344, 7, 19885500.0, changed = True, neighbourhood = 1 
iterations = 48, 0.02, 0.053, 0.385, 5, 22221300.0, changed = True, neighbourhood = 1 
iterations = 50, 0.109, 0.27, 0.405, 6, 23597500.0, changed = False, neighbourhood = 0 
[{'id': '202_2', 'cost': 4080, 'act': 5649, 'utils': {'Role 1': 0.0, 'Role 2': 0.01}}, {'id': '153_1', 'cost': 3080, 'act': 5652, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '133_1', 'cost': 2680, 'act': 5734, 'utils': {'Role 1': 0.01, 'Role 2': 0.01}}, {'id': '93_1', 'cost': 1880, 'act': 5984, 'utils': {'Role 1': 0.01, 'Role 2': 0.01}}, {'id': '13_1', 'cost': 280, 'act': 6024, 'utils': {'Role 1': 0.07, 'Role 2': 0.01}}, {'id': '3_1', 'cost': 80, 'act': 7738, 'utils': {'Role 1': 0.36, 'Role 2': 0.01}}] 
iterations = 2, 0.002, 0.088, 0.021, 2, 1178500.0, changed = True, neighbourhood = 2 
iterations = 4, 0.007, 0.117, 0.062, 3, 3515800.0, changed = True, neighbourhood = 2 
iterations = 6, 0.011, 0.105, 0.103, 4, 5931400.0, changed = True, neighbourhood = 2 
iterations = 8, 0.012, 0.08, 0.145, 4, 8285500.0, changed = True, neighbourhood = 1 
iterations = 10, 0.016, 0.084, 0.186, 4, 10551000.0, changed = True, neighbourhood = 2 
iterations = 12, 0.045, 0.197, 0.227, 3, 12757300.0, changed = True, neighbourhood = 2 
iterations = 14, 0.034, 0.127, 0.269, 4, 15060600.0, changed = True, neighbourhood = 1 
iterations = 16, 0.056, 0.179, 0.31, 3, 17162700.0, changed = True, neighbourhood = 2 
iterations = 18, 0.008, 0.023, 0.351, 3, 19356300.0, changed = True, neighbourhood = 1 
iterations = 20, 0.002, 0.112, 0.021, 2, 1191000.0, changed = True, neighbourhood = 2 
iterations = 22, 0.008, 0.125, 0.062, 3, 3611200.0, changed = True, neighbourhood = 2 
iterations = 24, 0.001, 0.011, 0.103, 2, 5601000.0, changed = True, neighbourhood = 1 
iterations = 26, 0.021, 0.148, 0.145, 4, 8006700.0, changed = True, neighbourhood = 2 
iterations = 28, 0.038, 0.207, 0.186, 5, 10515700.0, changed = True, neighbourhood = 2 
iterations = 30, 0.003, 0.011, 0.227, 3, 12370200.0, changed = True, neighbourhood = 1 
iterations = 32, 0.035, 0.131, 0.269, 5, 14779200.0, changed = True, neighbourhood = 1 
iterations = 34, 0.002, 0.006, 0.31, 2, 16752000.0, changed = True, neighbourhood = 1 
iterations = 36, 0.019, 0.054, 0.351, 4, 19095200.0, changed = True, neighbourhood = 1 
iterations = 38, 0.028, 0.071, 0.393, 5, 21496200.0, changed = True, neighbourhood = 1 
iterations = 40, 0.013, 0.03, 0.434, 4, 23583300.0, changed = True, neighbourhood = 2 
iterations = 42, 0.051, 0.107, 0.475, 5, 26000500.0, changed = True, neighbourhood = 1 
iterations = 44, 0.035, 0.068, 0.517, 5, 28310100.0, changed = True, neighbourhood = 1 
iterations = 46, 0.025, 0.045, 0.558, 6, 30582800.0, changed = True, neighbourhood = 2 
iterations = 48, 0.028, 0.046, 0.599, 8, 32935500.0, changed = True, neighbourhood = 1 
iterations = 50, 0.045, 0.072, 0.62, 9, 34131200.0, changed = False, neighbourhood = 0 
[{'id': '302_2', 'cost': 6080, 'act': 5563, 'utils': {'Role 1': 0.0, 'Role 2': 0.0}}, {'id': '153_1', 'cost': 3080, 'act': 5605, 'utils': {'Role 1': 0.01, 'Role 2': 0.01}}, {'id': '102_2', 'cost': 2080, 'act': 5752, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '93_1', 'cost': 1880, 'act': 5776, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '42_2', 'cost': 880, 'act': 5873, 'utils': {'Role 1': 0.02, 'Role 2': 0.01}}, {'id': '33_1', 'cost': 680, 'act': 5877, 'utils': {'Role 1': 0.03, 'Role 2': 0.0}}, {'id': '23_1', 'cost': 480, 'act': 5881, 'utils': {'Role 1': 0.04, 'Role 2': 0.0}}, {'id': '13_1', 'cost': 280, 'act': 5888, 'utils': {'Role 1': 0.08, 'Role 2': 0.0}}, {'id': '3_1', 'cost': 80, 'act': 6069, 'utils': {'Role 1': 0.32, 'Role 2': 0.09}}] 
iterations = 2, 0.0, 0.004, 0.02, 2, 1241500.0, changed = True, neighbourhood = 1 
iterations = 4, 0.001, 0.07, 0.02, 2, 1197100.0, changed = True, neighbourhood = 1 
iterations = 6, 0.003, 0.083, 0.04, 2, 2409800.0, changed = True, neighbourhood = 1 
iterations = 8, 0.004, 0.048, 0.081, 2, 4726000.0, changed = True, neighbourhood = 1 
iterations = 10, 0.008, 0.069, 0.121, 3, 7094400.0, changed = True, neighbourhood = 2 
iterations = 12, 0.009, 0.054, 0.162, 4, 9318200.0, changed = True, neighbourhood = 1 
iterations = 14, 0.018, 0.088, 0.202, 5, 11808600.0, changed = True, neighbourhood = 1 
iterations = 16, 0.013, 0.052, 0.243, 4, 13903100.0, changed = True, neighbourhood = 1 
iterations = 18, 0.038, 0.135, 0.283, 6, 16460700.0, changed = True, neighbourhood = 1 
iterations = 20, 0.016, 0.049, 0.324, 5, 18642900.0, changed = True, neighbourhood = 1 
iterations = 22, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 24, 0.006, 0.14, 0.04, 3, 2503500.0, changed = True, neighbourhood = 1 
iterations = 26, 0.01, 0.125, 0.081, 3, 4687100.0, changed = True, neighbourhood = 2 
iterations = 28, 0.024, 0.202, 0.121, 4, 7165000.0, changed = True, neighbourhood = 2 
iterations = 30, 0.037, 0.227, 0.162, 3, 9273800.0, changed = True, neighbourhood = 1 
iterations = 32, 0.035, 0.174, 0.202, 3, 11495300.0, changed = True, neighbourhood = 2 
iterations = 34, 0.012, 0.048, 0.243, 3, 13746000.0, changed = True, neighbourhood = 1 
iterations = 36, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 38, 0.006, 0.137, 0.04, 3, 2473500.0, changed = True, neighbourhood = 2 
iterations = 40, 0.003, 0.033, 0.081, 2, 4543600.0, changed = True, neighbourhood = 1 
iterations = 42, 0.013, 0.109, 0.121, 3, 6973000.0, changed = True, neighbourhood = 1 
iterations = 44, 0.016, 0.099, 0.162, 4, 9143900.0, changed = True, neighbourhood = 1 
iterations = 46, 0.015, 0.076, 0.202, 4, 11458200.0, changed = True, neighbourhood = 2 
iterations = 48, 0.017, 0.071, 0.243, 4, 13576900.0, changed = True, neighbourhood = 1 
iterations = 50, 0.062, 0.235, 0.263, 5, 14910800.0, changed = False, neighbourhood = 0 
[{'id': '133_1', 'cost': 2680, 'act': 5560, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '72_2', 'cost': 1480, 'act': 5641, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '23_1', 'cost': 480, 'act': 5714, 'utils': {'Role 1': 0.04, 'Role 2': 0.02}}, {'id': '13_1', 'cost': 280, 'act': 6074, 'utils': {'Role 1': 0.08, 'Role 2': 0.04}}, {'id': '3_1', 'cost': 80, 'act': 7265, 'utils': {'Role 1': 0.36, 'Role 2': 0.0}}] 
--------------------------------------------------- 
Total time elapsed for 5 experiments (sec) = 189.6
--------------------------------------------------- 
